A_median,AdjLocGap,B_median,accuracy,alpha,beta,k_prop,k_tok,pipeline,rho_flag,rho_median,seed,task,variant
44.74264765987637,"{""ci_high"": 0.0014406279249279614, ""ci_low"": 0.0011039706643593725, ""mean"": 0.001271955125633896, ""median"": 0.0008055866444854898}",27.41084796258415,1.0,0.5,1.0,4,16,token,True,1.6330531717509622,0,forward,mechanism
30.642932451650594,"{""ci_high"": 0.001953413396234432, ""ci_low"": 0.0017992740631332118, ""mean"": 0.001876943929371634, ""median"": 0.0011473750239750398}",26.09061775957877,1.0,0.5,1.0,4,16,token,True,1.16744926174558,1,forward,mechanism
56.42595894399712,"{""ci_high"": 0.0009463972190744379, ""ci_low"": 0.0005301916396807335, ""mean"": 0.0007381384831386571, ""median"": 0.0006555892495192506}",31.284406995727323,1.0,0.5,1.0,4,16,token,True,1.8019234717903878,2,forward,mechanism
45.1507729529281,"{""ci_high"": 0.001857578008504219, ""ci_low"": 0.0013837533664586227, ""mean"": 0.001619607926357483, ""median"": 0.0010564871676890172}",27.483587404503957,1.0,0.0,1.0,4,16,token,True,1.6432829291849833,0,forward,no_drift
29.471891631413623,"{""ci_high"": 0.001284878005035224, ""ci_low"": 0.0011520464224038772, ""mean"": 0.0012184119838353465, ""median"": 0.000848687520061335}",26.066322354180883,1.0,0.0,1.0,4,16,token,True,1.1274652648288548,1,forward,no_drift
54.11619563991959,"{""ci_high"": 9.242993623910976e-05, ""ci_low"": -0.00027991914459435954, ""mean"": -9.398565406786983e-05, ""median"": 8.297853993721391e-05}",28.599953324324005,1.0,0.0,1.0,4,16,token,True,1.8870077923387385,2,forward,no_drift
0.0,"{""ci_high"": -0.009010616337207272, ""ci_low"": -0.011074202116524046, ""mean"": -0.010047351120229473, ""median"": -0.00022771567171696663}",0.0,1.0,0.5,0.0,4,16,token,False,1.0,0,forward,no_injection
0.0,"{""ci_high"": 0.0002851869133332366, ""ci_low"": -0.0004294908522039674, ""mean"": -7.312552011530155e-05, ""median"": -8.159970365843872e-06}",0.0,1.0,0.5,0.0,4,16,token,False,1.0,1,forward,no_injection
0.0,"{""ci_high"": 0.00033937555634958196, ""ci_low"": -9.804879363477672e-05, ""mean"": 7.812807939371829e-05, ""median"": -5.1067178485630915e-06}",0.0,1.0,0.5,0.0,4,16,token,False,1.0,2,forward,no_injection
28.08188913843734,"{""ci_high"": -0.0023851954548232087, ""ci_low"": -0.004025895632976475, ""mean"": -0.0031930865121198586, ""median"": -0.002620246174702641}",28.08188913843734,1.0,0.5,1.0,4,16,token,False,1.0029717508100475,0,forward,symmetric_control_v2_normmatched
27.42184104648809,"{""ci_high"": -0.006208230662479286, ""ci_low"": -0.006863024515584029, ""mean"": -0.006536662180625979, ""median"": -0.0025161944918534046}",27.42184104648809,1.0,0.5,1.0,4,16,token,False,1.0131251754900648,1,forward,symmetric_control_v2_normmatched
29.94966120275052,"{""ci_high"": -0.0003575311434676443, ""ci_low"": -0.0009752410215404439, ""mean"": -0.0006634614297364683, ""median"": -0.0006616734661184752}",29.949661202750523,1.0,0.5,1.0,4,16,token,False,0.9986528788309617,2,forward,symmetric_control_v2_normmatched
