variant,seed,pipeline,regime,metric,ell,mean,median,ci_low,ci_high,accuracy
symmetric_control_v2_normmatched,0,A,0,PR,,7.856132054401961,7.994805527141901,7.818169743507289,7.892741155689428,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,2,0.039499728071406705,0.03547239643461608,0.03804973482245321,0.0409840582833142,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,3,-0.014555365707700819,-0.013300226139382365,-0.01510079331581019,-0.01399818563837338,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,4,0.004745042735057366,0.004128551743031839,0.004498211883545399,0.0049931673688191815,0.4906
symmetric_control_v2_normmatched,0,A,1,PR,,7.881279287185479,7.995709777245937,7.845149466081934,7.914050604663936,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,2,0.038310961701490315,0.03454426345285905,0.03690608113733425,0.03977474190870859,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,3,-0.01406988741417994,-0.012845454018895253,-0.014625634251523923,-0.0135195884343392,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,4,0.004435459735309737,0.0038808741298616,0.004202471458432668,0.004677742911621561,0.4906
symmetric_control_v2_normmatched,0,A,2,PR,,7.875966857420904,7.99563695068266,7.838983039723928,7.909933953128952,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,2,0.03897385330126544,0.03564669916118113,0.03753037540627585,0.04041285881973257,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,3,-0.014255960346416524,-0.013149761676952837,-0.01481826532272317,-0.013682512034052585,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,4,0.004586824332693542,0.00410890514666476,0.004337631567988631,0.004830019147809333,0.4906
symmetric_control_v2_normmatched,0,A,3,PR,,7.848533734069615,7.995600529754379,7.8076441454120085,7.886768944203121,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,2,0.039074137247311076,0.036393255654527,0.037741041960234034,0.04046719128772649,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,3,-0.014269086975477947,-0.013129586541148874,-0.01482138450402716,-0.01374087659514572,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,4,0.004619695225753676,0.0041517713367072995,0.004381618991565392,0.004863008504081312,0.4906
symmetric_control_v2_normmatched,0,B,0,PR,,7.703181618328635,7.9995714144933405,7.644798849518685,7.757763238143171,0.4906
