variant,seed,source_task,target_task,tier,n_train,final_acc,best_acc,step_at_best
no_injection,1,backward,forward,head,128,0.5069,0.5069,2000
no_injection,1,backward,forward,head,2048,0.5039,0.5085,1250
no_injection,1,backward,forward,head,512,0.521,0.526,500
no_injection,1,backward,forward,head,32,0.5081,0.5104,1500
no_injection,1,forward,backward,head,128,0.5055,0.5083,1750
no_injection,1,forward,backward,head,2048,0.4998,0.5065,250
no_injection,1,forward,backward,head,512,0.4992,0.5076,500
no_injection,1,forward,backward,head,32,0.5098,0.51,1250
no_injection,0,backward,forward,head,128,0.4827,0.516,250
no_injection,0,backward,forward,head,2048,0.4862,0.5312,500
no_injection,0,backward,forward,head,512,0.516,0.516,250
no_injection,0,backward,forward,head,32,0.4956,0.516,250
no_injection,0,forward,backward,head,128,0.5149,0.517,1500
no_injection,0,forward,backward,head,2048,0.5069,0.5167,1500
no_injection,0,forward,backward,head,512,0.5142,0.516,250
no_injection,0,forward,backward,head,32,0.5074,0.517,500
no_injection,2,backward,forward,head,128,0.5006,0.5063,1250
no_injection,2,backward,forward,head,2048,0.5215,0.5215,2000
no_injection,2,backward,forward,head,512,0.5003,0.5069,1000
no_injection,2,backward,forward,head,32,0.4988,0.4988,2000
no_injection,2,forward,backward,head,128,0.4893,0.4968,750
no_injection,2,forward,backward,head,2048,0.5023,0.5023,2000
no_injection,2,forward,backward,head,512,0.4903,0.496,500
no_injection,2,forward,backward,head,32,0.503,0.503,2000
mechanism,1,backward,forward,head,128,0.5014,0.505,250
mechanism,1,backward,forward,head,2048,0.4972,0.5176,1250
mechanism,1,backward,forward,head,512,0.4986,0.5091,1750
mechanism,1,backward,forward,head,32,0.5012,0.5052,250
mechanism,1,forward,backward,head,128,0.506,0.5099,500
mechanism,1,forward,backward,head,2048,0.506,0.5065,1000
mechanism,1,forward,backward,head,512,0.4984,0.5125,500
mechanism,1,forward,backward,head,32,0.5103,0.5103,500
mechanism,0,backward,forward,head,128,0.4931,0.52,500
mechanism,0,backward,forward,head,2048,0.4889,0.524,500
mechanism,0,backward,forward,head,512,0.516,0.516,250
mechanism,0,backward,forward,head,32,0.497,0.516,250
mechanism,0,forward,backward,head,128,0.516,0.516,250
mechanism,0,forward,backward,head,2048,0.4889,0.516,250
mechanism,0,forward,backward,head,512,0.516,0.516,250
mechanism,0,forward,backward,head,32,0.5004,0.516,250
mechanism,2,backward,forward,head,128,0.5137,0.5137,2000
mechanism,2,backward,forward,head,2048,0.5179,0.5179,2000
mechanism,2,backward,forward,head,512,0.5096,0.5096,2000
mechanism,2,backward,forward,head,32,0.5044,0.5047,500
mechanism,2,forward,backward,head,128,0.5043,0.506,1250
mechanism,2,forward,backward,head,2048,0.5064,0.5115,1750
mechanism,2,forward,backward,head,512,0.4962,0.4962,1750
mechanism,2,forward,backward,head,32,0.493,0.4958,250
