mode,train_task,eval_task,source_task,target_task,variant,seed,n_train,acc,ci_low,ci_high,correct,total,path
zero_shot,conclusion,topology,conclusion,topology,baseline_only,2,,0.5,0.49020188184182106,0.5097981181581789,5000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_2/eval_topology_summary.json
in_task,conclusion,conclusion,conclusion,conclusion,baseline_only,2,,1.0,0.9996159875222334,0.9999999999999999,10000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_2/eval_conclusion_summary.json
zero_shot,conclusion,topology,conclusion,topology,baseline_only,1,,0.5,0.49020188184182106,0.5097981181581789,5000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_1/eval_topology_summary.json
in_task,conclusion,conclusion,conclusion,conclusion,baseline_only,1,,1.0,0.9996159875222334,0.9999999999999999,10000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_1/eval_conclusion_summary.json
zero_shot,conclusion,topology,conclusion,topology,baseline_only,0,,0.5,0.49020188184182106,0.5097981181581789,5000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_0/eval_topology_summary.json
in_task,conclusion,conclusion,conclusion,conclusion,baseline_only,0,,1.0,0.9996159875222334,0.9999999999999999,10000,10000,runs/v3_preflight/conclusion_train/baseline_only/seed_0/eval_conclusion_summary.json
in_task,topology,topology,topology,topology,baseline_only,2,,0.5,0.49020188184182106,0.5097981181581789,5000,10000,runs/v3_preflight/topology_train/baseline_only/seed_2/eval_topology_summary.json
zero_shot,topology,conclusion,topology,conclusion,baseline_only,2,,0.4952,0.4854041764360134,0.504999510083773,4952,10000,runs/v3_preflight/topology_train/baseline_only/seed_2/eval_conclusion_summary.json
in_task,topology,topology,topology,topology,baseline_only,1,,0.5,0.49020188184182106,0.5097981181581789,5000,10000,runs/v3_preflight/topology_train/baseline_only/seed_1/eval_topology_summary.json
zero_shot,topology,conclusion,topology,conclusion,baseline_only,1,,0.4966,0.4868034139323627,0.506399197352486,4966,10000,runs/v3_preflight/topology_train/baseline_only/seed_1/eval_conclusion_summary.json
in_task,topology,topology,topology,topology,baseline_only,0,,0.9526,0.9482585088939544,0.9565938830111713,9526,10000,runs/v3_preflight/topology_train/baseline_only/seed_0/eval_topology_summary.json
zero_shot,topology,conclusion,topology,conclusion,baseline_only,0,,0.4995,0.48970207874523897,0.5092983052672387,4995,10000,runs/v3_preflight/topology_train/baseline_only/seed_0/eval_conclusion_summary.json
few_shot,conclusion,topology,conclusion,topology,baseline_only,1,128,0.5499,0.540131617720214,0.559630057834505,5499,10000,runs/v3_preflight/baseline_only/seed1/conclusion_to_topology/head/n128/adapt_summary.json
